Region,Country,Indicator,Input,Date
Americas,Antigua and Barbuda,Ratification of the UN Convention against Torture,Yes,1993
Americas,Argentina,Ratification of the UN Convention against Torture,Yes,1986
Americas,Bahamas,Ratification of the UN Convention against Torture,Yes,2018
Americas,Barbados,Ratification of the UN Convention against Torture,No,
Americas,Belize,Ratification of the UN Convention against Torture,Yes,1986
Americas,Bolivia,Ratification of the UN Convention against Torture,Yes,1999
Americas,Brazil,Ratification of the UN Convention against Torture,Yes,1989
Americas,Canada,Ratification of the UN Convention against Torture,Yes,1987
Americas,Chile,Ratification of the UN Convention against Torture,Yes,1988
Americas,Colombia,Ratification of the UN Convention against Torture,Yes,1987
Americas,Costa Rica,Ratification of the UN Convention against Torture,Yes,1993
Americas,Cuba,Ratification of the UN Convention against Torture,Yes,1995
Americas,Dominica,Ratification of the UN Convention against Torture,No,
Americas,Dominican Republic,Ratification of the UN Convention against Torture,Yes,2012
Americas,Ecuador,Ratification of the UN Convention against Torture,Yes,1988
Americas,El Salvador,Ratification of the UN Convention against Torture,Yes,1996
Americas,Grenada,Ratification of the UN Convention against Torture,No,
Americas,Guatemala,Ratification of the UN Convention against Torture,Yes,1990
Americas,Guyana,Ratification of the UN Convention against Torture,Yes,1988
Americas,Haiti,Ratification of the UN Convention against Torture,No,
Americas,Honduras,Ratification of the UN Convention against Torture,Yes,1996
Americas,Jamaica,Ratification of the UN Convention against Torture,No,
Americas,Mexico,Ratification of the UN Convention against Torture,Yes,1986
Americas,Nicaragua,Ratification of the UN Convention against Torture,Yes,2005
Americas,Panama,Ratification of the UN Convention against Torture,Yes,1987
Americas,Paraguay,Ratification of the UN Convention against Torture,Yes,1990
Americas,Peru,Ratification of the UN Convention against Torture,Yes,1988
Americas,Saint Kitts and Nevis,Ratification of the UN Convention against Torture,Yes,2020
Americas,Saint Lucia,Ratification of the UN Convention against Torture,No,
Americas,Saint Vincent and the Grenadines,Ratification of the UN Convention against Torture,Yes,2001
Americas,Suriname,Ratification of the UN Convention against Torture,Yes,2021
Americas,Trinidad and Tobago,Ratification of the UN Convention against Torture,No,
Americas,United States,Ratification of the UN Convention against Torture,Yes,1994
Americas,Uruguay,Ratification of the UN Convention against Torture,Yes,1986
Americas,Venezuela,Ratification of the UN Convention against Torture,Yes,1991
Africa,Algeria,Ratification of the UN Convention against Torture,Yes,1989
Africa,Angola,Ratification of the UN Convention against Torture,Yes,2019
Africa,Benin,Ratification of the UN Convention against Torture,Yes,1992
Africa,Botswana,Ratification of the UN Convention against Torture,Yes,2000
Africa,Burkina Faso,Ratification of the UN Convention against Torture,Yes,1999
Africa,Burundi,Ratification of the UN Convention against Torture,Yes,1993
Africa,Cabo Verde,Ratification of the UN Convention against Torture,Yes,1992
Africa,Cameroon,Ratification of the UN Convention against Torture,Yes,1986
Africa,Central African Republic,Ratification of the UN Convention against Torture,Yes,2016
Africa,Chad,Ratification of the UN Convention against Torture,Yes,1995
Africa,Comoros,Ratification of the UN Convention against Torture,Yes,2017
Africa,Congo,Ratification of the UN Convention against Torture,Yes,2003
Africa,Cote d'Ivoire,Ratification of the UN Convention against Torture,Yes,1995
Africa,Democratic Republic of the Congo,Ratification of the UN Convention against Torture,Yes,1996
Africa,Djibouti,Ratification of the UN Convention against Torture,Yes,2002
Africa,Equatorial Guinea,Ratification of the UN Convention against Torture,Yes,2002
Africa,Eritrea,Ratification of the UN Convention against Torture,Yes,2014
Africa,Ethiopia,Ratification of the UN Convention against Torture,Yes,1994
Africa,Gabon,Ratification of the UN Convention against Torture,Yes,2000
Africa,Gambia,Ratification of the UN Convention against Torture,Yes,2018
Africa,Ghana,Ratification of the UN Convention against Torture,Yes,2000
Africa,Guinea,Ratification of the UN Convention against Torture,Yes,1989
Africa,Guinea-Bissau,Ratification of the UN Convention against Torture,Yes,2013
Africa,Kenya,Ratification of the UN Convention against Torture,Yes,1997
Africa,Lesotho,Ratification of the UN Convention against Torture,Yes,2001
Africa,Liberia,Ratification of the UN Convention against Torture,Yes,2004
Africa,Madagascar,Ratification of the UN Convention against Torture,Yes,2005
Africa,Malawi,Ratification of the UN Convention against Torture,Yes,1996
Africa,Mali,Ratification of the UN Convention against Torture,Yes,1999
Africa,Mauritania,Ratification of the UN Convention against Torture,Yes,2004
Africa,Mozambique,Ratification of the UN Convention against Torture,Yes,1999
Africa,Namibia,Ratification of the UN Convention against Torture,Yes,1994
Africa,Niger,Ratification of the UN Convention against Torture,Yes,1998
Africa,Nigeria,Ratification of the UN Convention against Torture,Yes,2001
Africa,Rwanda,Ratification of the UN Convention against Torture,Yes,2008
Africa,Sao Tome and Principe,Ratification of the UN Convention against Torture,Yes,2017
Africa,Senegal,Ratification of the UN Convention against Torture,Yes,1986
Africa,Seychelles,Ratification of the UN Convention against Torture,Yes,1992
Africa,Sierra Leone,Ratification of the UN Convention against Torture,Yes,2001
Africa,Somalia,Ratification of the UN Convention against Torture,Yes,1990
Africa,South Sudan,Ratification of the UN Convention against Torture,Yes,2015
Africa,Sudan,Ratification of the UN Convention against Torture,Yes,2021
Africa,Swaziland,Ratification of the UN Convention against Torture,Yes,2004
Africa,Uganda,Ratification of the UN Convention against Torture,Yes,1986
Africa,United Republic of Tanzania,Ratification of the UN Convention against Torture,No,
Africa,Zambia,Ratification of the UN Convention against Torture,Yes,1998
Africa,Zimbabwe,Ratification of the UN Convention against Torture,No,
Africa,Mauritius,Ratification of the UN Convention against Torture,Yes,1992
Africa,South Africa,Ratification of the UN Convention against Torture,Yes,2001
Africa,Togo,Ratification of the UN Convention against Torture,Yes,1987
Europe,Albania,Ratification of the UN Convention against Torture,Yes,1994
Europe,Andorra,Ratification of the UN Convention against Torture,Yes,2006
Europe,Austria,Ratification of the UN Convention against Torture,Yes,1987
Europe,Armenia,Ratification of the UN Convention against Torture,Yes,1993
Europe,Belarus,Ratification of the UN Convention against Torture,Yes,1987
Europe,Belgium,Ratification of the UN Convention against Torture,Yes,1999
Europe,Bulgaria,Ratification of the UN Convention against Torture,Yes,1986
Europe,Croatia,Ratification of the UN Convention against Torture,Yes,1992
Europe,Cyprus,Ratification of the UN Convention against Torture,Yes,1991
Europe,France,Ratification of the UN Convention against Torture,Yes,1986
Europe,Czech Republic,Ratification of the UN Convention against Torture,Yes,1993
Europe,Denmark,Ratification of the UN Convention against Torture,Yes,1987
Europe,Estonia,Ratification of the UN Convention against Torture,Yes,1991
Europe,Finland,Ratification of the UN Convention against Torture,Yes,1989
Europe,Georgia,Ratification of the UN Convention against Torture,Yes,1994
Europe,Germany,Ratification of the UN Convention against Torture,Yes,1990
Europe,Greece,Ratification of the UN Convention against Torture,Yes,1988
Europe,Holy See,Ratification of the UN Convention against Torture,Yes,2002
Europe,Hungary,Ratification of the UN Convention against Torture,Yes,1987
Europe,Iceland,Ratification of the UN Convention against Torture,Yes,1996
Europe,Italy,Ratification of the UN Convention against Torture,Yes,1989
Europe,Ireland,Ratification of the UN Convention against Torture,Yes,2002
Europe,Latvia,Ratification of the UN Convention against Torture,Yes,1992
Europe,Liechtenstein,Ratification of the UN Convention against Torture,Yes,1990
Europe,Lithuania,Ratification of the UN Convention against Torture,Yes,1996
Europe,Luxembourg,Ratification of the UN Convention against Torture,Yes,1987
Europe,North Macedonia,Ratification of the UN Convention against Torture,Yes,1994
