,Region,Country,Indicator,Input,Date,Unnamed: 5,rank
0,Americas,Antigua and Barbuda,Ratification of the UN Convention against Torture,Yes,1993-01-01,,161
1,Americas,Argentina,Ratification of the UN Convention against Torture,Yes,1986-01-01,,3
2,Americas,Bahamas,Ratification of the UN Convention against Torture,Yes,2018-01-01,,155
3,Americas,Barbados,Ratification of the UN Convention against Torture,No,,,182
4,Americas,Belize,Ratification of the UN Convention against Torture,Yes,1986-01-01,,124
5,Americas,Bolivia,Ratification of the UN Convention against Torture,Yes,1999-01-01,,46
6,Americas,Brazil,Ratification of the UN Convention against Torture,Yes,1989-01-01,,26
7,Americas,Canada,Ratification of the UN Convention against Torture,Yes,1987-01-01,,117
8,Americas,Chile,Ratification of the UN Convention against Torture,Yes,1988-01-01,,37
9,Americas,Colombia,Ratification of the UN Convention against Torture,Yes,1987-01-01,,102
10,Americas,Costa Rica,Ratification of the UN Convention against Torture,Yes,1993-01-01,,50
11,Americas,Cuba,Ratification of the UN Convention against Torture,Yes,1995-01-01,,103
12,Americas,Dominica,Ratification of the UN Convention against Torture,No,,,186
13,Americas,Dominican Republic,Ratification of the UN Convention against Torture,Yes,1982-01-01,,143
14,Americas,Ecuador,Ratification of the UN Convention against Torture,Yes,1988-01-01,,20
15,Americas,El Salvador,Ratification of the UN Convention against Torture,Yes,1996-01-01,,100
16,Americas,Grenada,Ratification of the UN Convention against Torture,No,,,177
17,Americas,Guatemala,Ratification of the UN Convention against Torture,Yes,1990-01-01,,49
18,Americas,Guyana,Ratification of the UN Convention against Torture,Yes,1988-01-01,,133
19,Americas,Haiti,Ratification of the UN Convention against Torture,No,,,166
20,Americas,Honduras,Ratification of the UN Convention against Torture,Yes,1996-01-01,,10
21,Americas,Jamaica,Ratification of the UN Convention against Torture,No,,,180
22,Americas,Mexico,Ratification of the UN Convention against Torture,Yes,1986-01-01,,15
23,Americas,Nicaragua,Ratification of the UN Convention against Torture,Yes,2005-01-01,,48
24,Americas,Panama,Ratification of the UN Convention against Torture,Yes,1987-01-01,,58
25,Americas,Paraguay,Ratification of the UN Convention against Torture,Yes,1990-01-01,,47
26,Americas,Peru,Ratification of the UN Convention against Torture,Yes,1988-01-01,,17
27,Americas,Saint Kitts and Nevis,Ratification of the UN Convention against Torture,Yes,2020-01-01,,152
28,Americas,Saint Lucia,Ratification of the UN Convention against Torture,No,,,176
29,Americas,Saint Vicent and the Grenadines,Ratification of the UN Convention against Torture,Yes,2001-01-01,,172
30,Americas,Suriname,Ratification of the UN Convention against Torture,Yes,2021-01-01,,162
31,Americas,Trindad and Tobago,Ratification of the UN Convention against Torture,No,,,190
32,Americas,United States,Ratification of the UN Convention against Torture,Yes,1994-01-01,,146
33,Americas,Uruguay,Ratification of the UN Convention against Torture,Yes,1986-01-01,,43
34,Americas,Venezuela,Ratification of the UN Convention against Torture,Yes,1991-01-01,,126
35,Africa,Algeria,Ratification of the UN Convention against Torture,Yes,1989-01-01,,120
36,Africa,Angola,Ratification of the UN Convention against Torture,Yes,2019-01-01,,135
37,Africa,Benin,Ratification of the UN Convention against Torture,Yes,1992-01-01,,66
38,Africa,Botswana,Ratification of the UN Convention against Torture,Yes,1999-01-01,,119
39,Africa,Burkina Faso,Ratification of the UN Convention against Torture,Yes,1999-01-01,,33
